"fb_sci_name";"FB_nas";"FB_Importance";"FB_IUCN";"FB_UsedasBait";"FB_UsedforAquaculture";"FB_PriceCateg";"FB_Aquarium_I";"FB_Aquarium_II"
"Bathygobius lineatus";245;"of no interest";"VU";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Bathystethus cultratus";241;NA;"N.E.";NA;NA;"unknown";NA;NA
"Batrachoides boulengeri";147;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Belone belone";71;"commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";" "
"Belonoperca chabanaudi";108;NA;"LC";"never/rarely";"never/rarely";"very high";NA;NA
"Blenniella chrysospilos";100;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Bodianus albotaeniatus";227;NA;"LC";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Bodianus anthioides";96;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Bodianus axillaris";92;"minor commercial";"LC";"occasionally";"never/rarely";"very high";"commercial";"based mainly on capture"
"Bodianus bilunulatus";92;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Bodianus diana";190;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Bodianus dictynna";106;NA;"LC";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Bodianus diplotaenia";96;NA;"LC";NA;NA;"very high";"commercial";"based mainly on capture"
"Bodianus eclancheri";105;"of no interest";"LC";"never/rarely";"never/rarely";NA;"commercial";"based mainly on capture"
"Bodianus frenchii";202;NA;"NT";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Bodianus loxozonus";90;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Bodianus mesothorax";93;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Bodianus perditio";97;"commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
